folder,GA,group,voxel_mm3,brain_volume_mm3,n_labels,tissue_1_mm3,tissue_1_prop,tissue_2_mm3,tissue_2_prop,tissue_3_mm3,tissue_3_prop,tissue_4_mm3,tissue_4_prop,tissue_5_mm3,tissue_5_prop,tissue_6_mm3,tissue_6_prop,tissue_7_mm3,tissue_7_prop,tissue_8_mm3,tissue_8_prop,norm_mu_mm3,norm_std_mm3,z_brain_volume
fetal_SB_atlas_GA21_notoperated,21,notoperated,0.5119980573654175,51978.04278373718,8,28731.794985175133,0.55276792750197,8402.400119423866,0.16165287628053585,1289.2111084461212,0.02480299448384555,1359.8668403625488,0.02616233254531127,6173.160577654839,0.11876477541371158,4137.456301569939,0.07960007880220646,1647.097750544548,0.031688337273443654,237.0551005601883,0.004560677698975571,52056.29580725488,999.0562656369174,-0.07832694334490296
fetal_SB_atlas_GA22_notoperated,22,notoperated,0.5119980573654175,61190.42382991314,8,32928.131063342094,0.538125559562558,9968.602176904678,0.1629111477412499,1620.9858496189117,0.026490842000451834,2174.455749630928,0.03553588312568507,7715.810724496841,0.1260950691556567,4722.158083081245,0.07717152108975593,1719.289476633072,0.02809736179327772,340.99070620536804,0.0055726155313647885,60849.018704386115,892.5197252039288,0.3825182972232827
fetal_SB_atlas_GA23_notoperated,23,notoperated,0.5119980573654175,71565.0404663086,8,38226.7989590168,0.5341546474358975,13552.5885784626,0.18937442765567766,1911.8007462024689,0.026714171245421244,2545.1423431634903,0.03556404532967033,8454.111923217773,0.11813186813186813,4819.437713980675,0.06734346382783883,1693.1775757074356,0.023659283424908424,361.98262655735016,0.005058092948717949,72248.34112659964,885.7902875692374,-0.7714022945074598
fetal_SB_atlas_GA24_notoperated,24,notoperated,0.5119980573654175,85113.53306031227,8,42891.10126161575,0.5039281030811247,17895.35610103607,0.21025277012476087,1346.554890871048,0.01582069081678076,5352.93968975544,0.06289175760054862,9853.914612054825,0.11577377013679183,5570.538864135742,0.06544833311276603,1784.8252279758453,0.020969934671976324,418.3024128675461,0.004914640455250905,84586.00186263144,892.5197252039288,0.5910583069235645
fetal_SB_atlas_GA25_notoperated,25,notoperated,0.5119980573654175,95788.18055832386,8,47349.06834709644,0.49431013378802374,21381.5508736372,0.22321700599186475,1823.2250822782516,0.01903392539299898,4087.792490005493,0.04267533286652734,12259.281485557556,0.12798323774500633,6362.087860822678,0.06641829736967293,2062.3281750679016,0.021530090278854223,462.8462438583374,0.004831976567051693,95891.61814501075,999.0562656369729,-0.10353529650295476
fetal_SB_atlas_GA25_operated,25,operated,0.5119980573654175,116996.16409051418,8,45619.0269112587,0.3899189966259535,20877.232787132263,0.17844373744578987,1601.0179253816605,0.013684362541519153,24476.579130411148,0.2092083900415301,15850.94785797596,0.13548262869296177,5686.2504251003265,0.04860202442792188,2212.8556039333344,0.018913915863270157,672.2534493207932,0.005745944361053613,95891.61814501075,999.0562656369729,21.12448184471018
fetal_SB_atlas_GA26_operated,26,operated,0.5119980573654175,147555.79214048386,8,56036.13938641548,0.3797623839331566,22583.7223123312,0.15305208955016725,1826.2970706224442,0.012376993435023386,33360.25742375851,0.22608571944093603,24652.70646214485,0.1670737969992644,5936.617475152016,0.04023303585060167,2389.4949337244034,0.01619384030312704,770.5570763349533,0.005222140487723632,104409.49846043403,2289.046068336656,18.849028106810344
fetal_SB_atlas_GA27_operated,27,operated,0.5119980573654175,172826.99225592613,8,58140.96340024471,0.33641135936768635,23994.276960372925,0.1388340828430414,1882.1048588752747,0.010890109434342357,42062.68840479851,0.24338031840831392,36883.316056489944,0.21341178004111935,6647.782776832581,0.03846495671803622,2307.5752445459366,0.013351937764031829,908.2845537662506,0.0052554554234285475,109049.11103385099,5087.686177327034,12.535734123337257
fetal_SB_atlas_GA28_operated,28,operated,0.5119980573654175,168103.2981786728,8,57522.46974694729,0.34218525377061965,16860.608027100563,0.1002990911527497,1928.1846840381622,0.011470237079993178,50209.60149359703,0.2986830242927804,31024.522286057472,0.1845562973611754,6789.606238722801,0.04038948856022027,2862.581138730049,0.01702870300431276,905.7245634794235,0.005387904778148681,109609.17200411877,8993.027714119002,6.5043862905763685
fetal_SB_atlas_GA29_operated,29,operated,0.5119980573654175,270120.9591009617,8,88526.51211071014,0.3277291492128238,31568.77622103691,0.11686903647205553,5333.995761632919,0.019746693405006236,78371.03064286709,0.2901330977933288,50637.63186955452,0.18746280199097012,10770.391134738922,0.03987247480012586,3620.338263630867,0.013402655890458734,1292.2830967903137,0.004784090435230921,106714.34611898588,13481.282425731002,12.120999161768848
fetal_SB_atlas_GA30_operated,30,operated,0.5119980573654175,257935.40533566475,8,80415.4388859272,0.31176580346260885,27762.582662582397,0.10763385750185596,5363.6916489601135,0.02079470882246686,79985.87251579762,0.31010040057008786,48358.72851622105,0.1874838719922506,10380.76061308384,0.040245582414615844,4347.887503147125,0.016856497453263515,1320.4429899454117,0.005119277782850519,101522.14620322305,17954.973758450742,8.711416749285789
fetal_SB_atlas_GA31_operated,31,operated,0.5119980573654175,317700.42657387257,8,97161.87134623528,0.30582858321609124,46016.84940183163,0.14484352412769474,5607.402724266052,0.017649969138339206,94719.12861454487,0.29813975900507805,56019.24345052242,0.17632725286094847,12031.442350029945,0.03787040036357132,4656.110333681107,0.014655662832729798,1488.3783527612686,0.004684848455547122,95336.6771257535,21893.34790603505,10.156680942649317
fetal_SB_atlas_GA32_operated,32,operated,0.5119980573654175,299857.29427468777,8,100338.30729413033,0.33462019837414475,34906.49155700207,0.11641034659982481,5799.401995778084,0.019340540005224865,84587.71105539799,0.2820932245787239,55232.81443440914,0.1841970013369509,12742.095653653145,0.04249386590536163,4880.365482807159,0.016275627026556317,1370.1068015098572,0.004569196173212831,89274.07623602207,24976.49047725279,8.431257314968608
fetal_SB_atlas_GA33_operated,33,operated,0.5119980573654175,323493.1725949049,8,113037.39511096478,0.3494274522217386,36442.48572909832,0.1126530289241483,8017.889578342438,0.024785344043049894,83185.86037433147,0.2571487358050093,63145.2324129343,0.19519803743125075,13430.221042752266,0.04151624263047521,4922.861321568489,0.01521782139041665,1311.2270249128342,0.004053337553911289,84071.64618855633,27125.293267431178,8.826504622301325
fetal_SB_atlas_GA34_operated,34,operated,0.5119980573654175,315610.45050370693,8,110273.62959730625,0.34939790308372903,49174.34142160416,0.15580707591628556,8332.76838362217,0.026402067391378407,70026.99830198288,0.22187794539192673,57560.35760319233,0.1823778569794737,13809.099605202675,0.0437536196382714,5029.868915557861,0.01593695299864218,1403.3866752386093,0.004446578600292978,80056.57578161106,28455.93397732665,8.277847246542658
